"","CaseID","nClients","nMH","nClose","ratio"
"493",56197,3,2,2,0.67
"494",56237,6,3,2,0.5
"495",56265,3,1,1,0.33
"496",56306,11,1,2,0.09
"497",56314,4,2,2,0.5
"498",56318,7,4,2,0.57
"499",56319,6,2,2,0.33
"500",56370,5,2,2,0.4
"501",56397,8,5,3,0.62
"502",56405,5,3,2,0.6
"503",56490,4,2,2,0.5
"504",56499,3,2,2,0.67
"505",56504,5,1,2,0.2
"506",56525,5,1,3,0.2
"507",56531,7,2,3,0.29
"508",56538,3,2,2,0.67
"509",56549,9,3,2,0.33
"510",56561,4,3,2,0.75
"511",56588,8,3,2,0.38
"512",56638,10,4,2,0.4
"513",56660,9,6,2,0.67
"514",56685,6,2,2,0.33
"515",56693,9,1,3,0.11
"516",56725,9,1,2,0.11
"517",56744,5,1,2,0.2
"518",56768,6,2,2,0.33
"519",56799,5,2,2,0.4
"520",56804,5,2,3,0.4
"521",56813,9,5,2,0.56
"522",56840,9,5,3,0.56
"523",56847,5,2,2,0.4
"524",56860,5,2,3,0.4
"525",56865,3,2,2,0.67
"526",56912,5,2,2,0.4
"527",56925,6,2,2,0.33
"528",57046,3,0,2,0
"529",57088,6,2,2,0.33
"530",57145,3,0,2,0
"531",57158,3,2,2,0.67
"532",57164,9,3,2,0.33
"533",57171,3,0,2,0
"534",57217,3,2,2,0.67
"535",57274,4,3,2,0.75
"536",57303,6,4,3,0.67
"537",57410,6,2,2,0.33
"538",57436,3,1,2,0.33
"539",57444,3,1,3,0.33
"540",57490,5,0,2,0
"541",57492,9,1,2,0.11
"542",57509,8,3,3,0.38
"543",57525,4,1,2,0.25
"544",57556,7,2,3,0.29
"545",57623,4,2,3,0.5
"546",57630,10,4,4,0.4
"547",57663,4,1,3,0.25
"548",57683,8,3,3,0.38
"549",57697,12,8,1,0.67
"550",57698,7,3,2,0.43
"551",57728,6,1,2,0.17
"552",57732,4,3,3,0.75
"553",57744,3,2,2,0.67
"554",57759,6,0,2,0
